"","x"
"705",103689912
"706",990
"707",7153
"708",7525
"709",220134
"710",6632
"711",51444
"712",10403
"713",23347
"714",162681
"715",115106
"716",81929
"717",55125
"718",6629
"719",81610
"720",5933
"721",10137
"722",4605
"723",79980
"724",22974
"725",1869
"726",5111
"727",27131
"728",11065
"729",1434
"730",4923
"731",6790
"732",6628
"733",9837
"734",84515
"735",994
"736",3397
"737",22847
"738",10054
"739",6217
"740",7515
"741",90480
"742",27338
"743",84922
"744",26528
"745",6209
"746",83743
"747",6141
"748",10036
"749",126282
"750",102466806
"751",84823
"752",56949
"753",100616459
"754",5725
"755",55723
"756",7064
"757",3276
"758",5050
"759",27335
"760",284403
"761",6203
"762",93323
"763",54815
"764",115703
"765",5424
"766",84444
"767",2091
"768",11100
"769",90379
"770",100500888
"771",8570
"772",10155
"773",51295
"774",147841
"775",23354
"776",79187
"777",5536
"778",29128
"779",83596
"780",6626
"781",3978
"782",10055
"783",23636
"784",11338
"785",1786
"786",6193
"787",6929
"788",4059
"789",3191
"790",3609
"791",10856
"792",4670
"793",6597
"794",10212
"795",147727
"796",51512
"797",84133
"798",9582
"799",55687
"800",2547
"801",8318
"802",10042
"803",4174
"804",10291
"805",23481
"806",56993
"807",23464
"808",29781
"809",9929
"810",8664
"811",23760
"812",6598
"813",2130
"814",100500860
"815",100302197
"816",54487
"817",10762
"818",5902
"819",54069
"820",54058
"821",2618
"822",29980
"823",10600
"824",8208
