"ENTREZID","log2FC"
100507421,4.63678134791878
3786,4.60096990426819
5243,4.49640601244383
6352,4.20479810033829
9227,3.97487866463811
1470,3.50878395289946
51458,3.49251625116852
9615,3.41700472707176
6424,3.22947374288265
341208,3.1993233421184
7857,3.1554887900012
56139,3.12887640924096
4747,2.95655637035748
102724550,2.8732980267944
283383,2.80829209653299
374860,2.7296351191005
2196,2.72828405755616
23705,2.72590769954668
643401,2.68155248294493
105369247,2.67265469223635
23475,2.67265469223635
1469,2.59180748337275
146330,2.56829203593319
9245,2.50327389437444
129025,2.4986145307206
4879,2.48381360297818
56137,2.40845100216055
2134,2.40257670669218
79603,2.37569916062044
728621,2.37178643548678
51129,2.32640469869931
785,2.302288404717
1410,2.30193404531167
26038,2.29630226469775
4856,2.29197014223303
4915,2.28727060543072
256472,2.27929251419221
56603,2.27817608862647
2352,2.26868561149341
5122,2.26652345097453
54463,2.25728165708796
5129,2.25544939037908
3714,2.25336022612483
130399,2.2414318815462
57731,2.23859004889035
54532,2.19549571548513
51778,2.17267226627117
56144,2.13029876022608
9547,2.0911501896355
118491,2.07897948713474
7425,2.04523958307149
58528,2.00521359683428
2034,2.00510526351115
7784,2.00066150598505
6712,1.98965853705224
114907,1.97543684873625
388630,1.96451678392744
2571,1.95609793966789
22875,1.95168835134255
285973,1.93780457564964
1008,1.9236482379779
272,1.91419192550064
80763,1.90363819901867
1850,1.90230177203912
133,1.90210515608852
57451,1.89131786480058
51560,1.87768361171769
60598,1.87641755133438
161145,1.87350283839911
9076,1.8690964980047
3162,1.85890268255921
5673,1.85702313505027
9635,1.84100130081014
113791,1.8252537879255
5563,1.81031274125008
54210,1.80115995466409
4908,1.75841992763682
9518,1.74980951548974
30061,1.74335064443778
8747,1.72951125464304
2517,1.6916265660594
6334,1.68147929396787
8341,1.66517129157461
84258,1.66441121711487
348013,1.65568962188376
9829,1.65091314096845
4147,1.64898785974034
255027,1.61889680087084
4982,1.61519166282547
7448,1.60671906178038
1803,1.59452779521863
56134,1.57465338894359
2621,1.56853298810236
21,1.56790316986806
205,1.54523208783313
55332,1.5147448129746
6751,1.49393888908846
57622,1.49158405454282
8497,1.47950883883624
6676,1.46467010467996
102465508,1.46275471107898
1191,1.46275471107898
54843,1.46213147757292
144100,1.45288755492003
7057,1.45246602409792
3134,1.43912078938119
54749,1.43193723754198
100507632,1.4277926436891
5801,1.42606008023976
23114,1.4253973857356
1261,1.42164642870706
51222,1.41861937579583
3383,1.41301712487821
7439,1.40270553580401
6236,1.40002241207297
387763,1.3949509935554
100113407,1.39118743476944
2683,1.38527792625185
100506394,1.37591546792563
56111,1.36492575788991
56113,1.35077204501493
2331,1.35029232895587
23743,1.34708496730864
79987,1.33969004995159
56477,1.32283698046729
1029,1.32005754905832
100874158,1.31496849161724
1608,1.30651198067829
8722,1.30467336677014
63895,1.30243083721029
9068,1.29604209352535
112609,1.28323939376501
11033,1.27885587480937
6586,1.27603806397653
3909,1.26696008513355
114897,1.26596732323313
2035,1.26479840145437
157506,1.25802594426524
100616112,1.25785590907348
1951,1.25785590907348
1740,1.25143558052122
5270,1.24263429397085
26996,1.24132544071799
5662,1.22833354341327
84624,1.2252355728145
5274,1.22514817238577
1827,1.21298167467507
80310,1.20376503240378
93185,1.20266114621158
90362,1.19302063703143
26112,1.19059259396617
57463,1.18992527316184
10893,1.17682346562994
5054,1.17656439424992
113451,1.17316568643679
54507,1.17278403571564
66004,1.16013660451591
26249,1.15697402155684
5033,1.15687633534068
1571,1.14092428341696
2745,1.13643380081735
6272,1.13603435238201
50804,1.13487584533345
57460,1.12633408649573
64506,1.12308586377038
390,1.12285581211594
4642,1.11284047158418
55876,1.11137131727205
11067,1.10953178662018
5210,1.10159355553541
1435,1.09940737203048
3672,1.09093668974392
115701,1.0907437051892
3017,1.086018279195
286077,1.08316067576594
5002,1.0806627391579
8745,1.07821336021349
9848,1.07774226880706
8365,1.07774180518574
445,1.0772775829039
8334,1.07589694110525
100506258,1.07415443746497
23127,1.07028490555692
85236,1.06415905018357
346653,1.05460323724049
2512,1.04785950106344
57493,1.04168549066145
83999,1.03992347508577
338707,1.03064849468203
22859,1.0297084690996
11227,1.0290895677499
9762,1.02442510710142
84572,1.02106353192783
710,1.01784334604061
8514,1.01713698060923
150726,1.01678278571271
79627,1.01584896889271
3133,1.01338417235873
23189,1.00935602336513
10404,1.00592049999523
8804,0.99933031361629
50944,0.9917734535519
83938,0.990780079671453
23643,0.989264040295869
55314,0.973394684866943
3486,0.973117888985287
5660,0.972093348447708
894,0.968638103689965
55647,0.951750269300737
10603,0.947105032731501
4601,0.946268666304634
51706,0.941323053162704
53373,0.940438670080025
8741,0.938407023136152
29094,0.936496467548524
427,0.935240093470334
412,0.934431992633647
83857,0.933138655027168
55076,0.929034500537884
93129,0.924890208383506
56133,0.922541170303586
2643,0.919597055700632
130827,0.91733473953852
56110,0.916860559907819
51762,0.916729638018196
196463,0.916401345896947
3140,0.916175089624905
101927533,0.91572074505657
2202,0.915573949585119
147463,0.914662773140953
50512,0.910176168126212
100847046,0.9088983248396
535,0.9088983248396
79729,0.907660774048127
80221,0.901309445201201
1509,0.895642825744099
130612,0.895195067697654
284615,0.892369006827278
57414,0.89233863148135
100134713,0.890996270686249
63027,0.890324837397292
22881,0.889737653796768
9145,0.88917526354086
256329,0.884207337480901
114796,0.883317712332495
1837,0.883278357401626
9127,0.873212305574634
79158,0.869760501271183
83604,0.867130330077626
3995,0.865764075889283
84439,0.860862336585903
113655,0.859599192109462
100129550,0.856637946004784
83719,0.848356513598417
771,0.845360269119328
6252,0.841474976679476
8357,0.841409274979881
1052,0.839922936852037
1893,0.839525444973096
201266,0.837076111618204
4828,0.836354518024784
57146,0.834583036272908
8878,0.833291070534175
98,0.83293163827577
79586,0.825894381957551
4130,0.821690936001576
23659,0.820750016310672
9144,0.820627821768408
27111,0.819728363911617
64116,0.819180094340977
404217,0.818989863886586
201176,0.813779051561364
94103,0.810404583437203
170394,0.809413020309919
2036,0.808006309869272
8714,0.806177168060385
1295,0.805437537509678
140885,0.801476997055245
23433,0.800612028251594
9811,0.799105592972545
56670,0.797850372522714
378805,0.797184486514464
51646,0.79706274726992
257044,0.795847303662351
18,0.787505582321465
57452,0.785903257589524
83464,0.777872030049885
10133,0.775544687489161
9028,0.771317481508315
6649,0.769672804437065
56666,0.76747208654831
100507156,0.764064951998309
64122,0.762499830413298
51148,0.762144968533592
84418,0.76208647310982
220,0.762023273779777
8992,0.760687657781802
2217,0.758060303359453
5208,0.756715647016024
23034,0.754511680805209
7466,0.753270670011713
51635,0.75236005830661
11080,0.751393456151412
84159,0.749152531158989
283130,0.748951743841687
8434,0.748619983188999
1130,0.748191786646179
54842,0.748169199341904
22936,0.746801973961982
84102,0.744536551061165
57724,0.743158193557659
9445,0.741519543014228
5445,0.738871724220665
94241,0.736454377279289
2629,0.733851525115781
63874,0.733737583203098
693213,0.731366239993448
9236,0.731366239993448
29070,0.728809181456199
114882,0.725864323905103
26353,0.724595997546248
8682,0.722514326771293
3425,0.716704261244201
129303,0.713873060603945
118672,0.710545026595351
55686,0.710429552965079
54814,0.709607061387859
57562,0.709365416424509
2896,0.709076614689145
410,0.70876632512169
79901,0.707693887978137
7844,0.706889859261015
147645,0.706870486423162
7275,0.69953400672408
84892,0.699528472715395
1200,0.696134143052712
283149,0.69557440251114
7077,0.695247983277859
147372,0.694436206661196
79930,0.692965975241974
5817,0.69256869821803
100847026,0.689955744069624
23078,0.689955744069624
54884,0.688137079472548
440498,0.687706070025382
81031,0.687604197615521
25805,0.686586460735945
6638,0.681059276790169
81631,0.677664937469315
1777,0.67573468417453
693197,0.673824281084714
283131,0.673824281084714
102465429,0.672117723968505
5310,0.672117723968505
90701,0.67068590527349
3482,0.6700516675077
55713,0.669996280585194
26056,0.669237318682253
51390,0.667739912870966
64788,0.665394661182638
27072,0.664992833621326
1647,0.663411921275793
2760,0.660644797645905
2997,0.660531952817828
2799,0.660346224492556
23762,0.658015197865528
25800,0.65691100795776
8974,0.656825412590031
29800,0.653668531840141
3423,0.653611848461269
23357,0.653555516447247
114784,0.651831664694671
117583,0.651211128345841
3983,0.649738743808976
9907,0.647939148693938
1471,0.646943188337055
28962,0.645451174636118
27067,0.644892554909676
285362,0.641200169427983
58986,0.64058323072961
4035,0.640280453600662
1186,0.64017372392746
10159,0.639672863001336
4779,0.63938019701408
23396,0.636324749921443
6715,0.634996125337185
27185,0.63487116110033
10140,0.634717770306303
7296,0.63166479969685
23780,0.631031625927403
57685,0.630734325229396
374875,0.628499190062295
