"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006029","GO:0006029","proteoglycan metabolic process","11/547","89/18986",0.123595505617978,4.28991639792125,5.35813578832634,4.9163216011613e-05,0.00712047245234861,0.00628771657411682,"2134/79586/2720/3425/55501/3423/2131/2132/3073/6448/81031",11
"GO:0006623","GO:0006623","protein targeting to vacuole","8/547","47/18986",0.170212765957447,5.90796997160527,5.80233214444216,5.26827466289304e-05,0.00738408174524847,0.00652049614473519,"6272/950/8878/27072/3920/1191/79158/84572",8
"GO:0002685","GO:0002685","regulation of leukocyte migration","19/547","236/18986",0.0805084745762712,2.7943946952561,4.77753221151771,5.73320661332724e-05,0.0077846196046584,0.00687419016630849,"1435/1893/1803/57142/56477/5054/7784/83692/4067/4856/80310/975/2621/102/7057/6352/3383/9518/3162",19
"GO:0034331","GO:0034331","cell junction maintenance","8/547","48/18986",0.166666666666667,5.7848872638635,5.71683363713752,6.16422634500274e-05,0.00789321501484472,0.00697008508972418,"114784/6272/51150/1639/9076/144100/57555/50944",8
"GO:0046514","GO:0046514","ceramide catabolic process","6/547","25/18986",0.24,8.33023765996344,6.31666321799186,6.17650887237561e-05,0.00789321501484472,0.00697008508972418,"2629/950/2760/4758/427/3073",6
"GO:0007035","GO:0007035","vacuolar acidification","7/547","36/18986",0.194444444444444,6.74903514117408,5.9466432925926,6.40256169319163e-05,0.0078947755599539,0.00697146312543928,"8804/8992/10159/3920/3916/535/2896",7
"GO:0050665","GO:0050665","hydrogen peroxide biosynthetic process","5/547","16/18986",0.3125,10.8466636197441,6.7864977508793,6.54112589547389e-05,0.0078947755599539,0.00697146312543928,"2534/255027/1535/1497/51",5
"GO:0030203","GO:0030203","glycosaminoglycan metabolic process","12/547","111/18986",0.108108108108108,3.75235930628984,5.00902753625498,8.56525346691303e-05,0.0100583854901992,0.00888203382273058,"2517/79586/11227/2720/3425/55501/3423/2131/2132/2799/3073/6448",12
"GO:0016197","GO:0016197","endosomal transport","21/547","294/18986",0.0714285714285714,2.47923739879864,4.40264774579423,0.000133028175748976,0.0150471271803759,0.0132873305244916,"6272/1130/8934/9581/1639/51560/950/8878/9907/55823/404636/51762/257364/23339/64400/9727/4642/57724/10079/6714/79735",21
"GO:0071674","GO:0071674","mononuclear cell migration","18/547","231/18986",0.0779220779220779,2.70462261687125,4.4895827820856,0.000135060520146066,0.0150471271803759,0.0132873305244916,"1435/2629/1893/57142/5054/83692/4067/4856/2131/2683/80310/975/2621/102/7057/6352/140885/3383",18
"GO:1903427","GO:1903427","negative regulation of reactive oxygen species biosynthetic process","5/547","19/18986",0.263157894736842,9.13403252188973,6.10961247845953,0.000162088737097738,0.0176068890672418,0.0155477222821383,"8837/2534/215/255027/1497",5
"GO:0050885","GO:0050885","neuromuscular process controlling balance","8/547","55/18986",0.145454545454545,5.04862888482632,5.17884386691243,0.000166700743196357,0.0176662129070285,0.0156001080603523,"2760/4747/1200/3073/220/57555/2548/50944",8
"GO:0000041","GO:0000041","transition metal ion transport","11/547","102/18986",0.107843137254902,3.74316234720579,4.78448153411488,0.000171366968121323,0.0177283208687416,0.0156549523509329,"30061/79901/64116/10424/1317/341208/540/7782/201266/25800/2512",11
"GO:0050905","GO:0050905","neuromuscular process","15/547","176/18986",0.0852272727272727,2.95818098720292,4.49515889074943,0.00018195521558839,0.0183859398077106,0.016235661219576,"2629/1639/3708/2760/4747/1200/5830/3073/4130/220/57555/2548/57731/50944/1312",15
"GO:0030167","GO:0030167","proteoglycan catabolic process","4/547","11/18986",0.363636363636364,12.6215722120658,6.64049749397464,0.000191387624367155,0.0188995279062565,0.0166891839908679,"2720/3425/3423/6448",4
"GO:0010466","GO:0010466","negative regulation of peptidase activity","16/547","198/18986",0.0808080808080808,2.80479382490351,4.39693653898375,0.000207567466881612,0.0200417920800135,0.0176978577025375,"1893/5270/5274/5054/8434/710/4035/2621/7057/8996/7448/7077/1470/1471/1469/6714",16
"GO:0051452","GO:0051452","intracellular pH reduction","8/547","57/18986",0.140350877192982,4.87148401167452,5.04175043033481,0.000215122841478858,0.0203197553527312,0.0179433125215203,"8804/8992/10159/3920/55647/3916/535/2896",8
"GO:0006885","GO:0006885","regulation of pH","11/547","106/18986",0.10377358490566,3.60191093787727,4.62673521891456,0.000241177356059537,0.022296076852738,0.0196884986077718,"8804/8992/10159/3920/55647/3916/51458/5164/535/2896/9777",11
"GO:0006622","GO:0006622","protein targeting to lysosome","6/547","32/18986",0.1875,6.50799817184644,5.37091921598951,0.000266312538534545,0.0229103995163108,0.0202309748015148,"6272/950/3920/1191/79158/84572",6
"GO:0035751","GO:0035751","regulation of lysosomal lumen pH","6/547","32/18986",0.1875,6.50799817184644,5.37091921598951,0.000266312538534545,0.0229103995163108,0.0202309748015148,"8804/10159/3920/3916/535/2896",6
"GO:1902042","GO:1902042","negative regulation of extrinsic apoptotic signaling pathway via death domain receptors","6/547","32/18986",0.1875,6.50799817184644,5.37091921598951,0.000266312538534545,0.0229103995163108,0.0202309748015148,"8682/8837/5054/2907/3383/3162",6
"GO:0031329","GO:0031329","regulation of cellular catabolic process","28/547","472/18986",0.0593220338983051,2.0590276701887,4.01290112196134,0.00026891378028351,0.0229103995163108,0.0202309748015148,"2629/5563/23352/9528/3708/950/152503/8992/8878/58528/221955/215/94241/56834/5660/10133/11067/55332/84749/79837/53373/257364/535/7077/94103/6714/5476/3162",28
"GO:0050655","GO:0050655","dermatan sulfate proteoglycan metabolic process","4/547","12/18986",0.333333333333333,11.569774527727,6.30822506602367,0.000280555199424051,0.0234425450287981,0.0207008846538597,"3425/55501/3423/3073",4
"GO:0006887","GO:0006887","exocytosis","23/547","360/18986",0.0638888888888889,2.21754011781434,4.01702942425958,0.000333162123619665,0.0271147160848902,0.0239435867311307,"51150/9581/785/26056/9522/3134/55362/7784/4067/3786/6812/55823/54843/3916/51762/6352/84961/10079/9885/63908/84258/23396/9145",23
"GO:0071675","GO:0071675","regulation of mononuclear cell migration","13/547","147/18986",0.0884353741496599,3.06953201756022,4.33842581658368,0.00033698381325295,0.0271147160848902,0.0239435867311307,"1435/1893/57142/5054/83692/4067/4856/80310/975/2621/102/7057/6352",13
